okr_num,cur_num
KH0001,"LL01, UR176"
KH0002,AS001
KH0003,AS002
KH0004,AS003
KH0005,AS004
KH0006,AS005
KH0007,AS006
KH0008,AS007
KH0009,AS008
KH0010,AS009
KH0011,AS010
KH0012,AS011
KH0013,AS012
KH0014,AS013
KH0015,AS014
KH0016,AS015
KH0017,AS016
KH0018,AS017
KH0019,AS018
KH0020,AS019
KH0021,AS020
KH0022,AS021
KH0023,AS022
KH0024,AS023
KH0025,AS024
KH0026,AS025
KH0027,AS026A
KH0028,AS026B
KH0029,AS027
KH0030,AS028
KH0031,AS029
KH0032,"AS030, UR043"
KH0033,"AS031, UR1031, UR044"
KH0034,"AS032, UR1032"
KH0035,"AS033A, UR1033A"
KH0036,"AS033B, UR1033B"
KH0037,"AS033C, UR1033C"
KH0038,"AS033D, UR1033D"
KH0039,"AS033E, UR1033E"
KH0040,"AS033F, UR1033F"
KH0041,"AS033G, UR1033G"
KH0042,"AS034, UR1034"
KH0043,AS35A
KH0044,AS35B
KH0045,AS035C
KH0046,AS035D
KH0047,AS036
KH0048,AS037
KH0049,"AS038, HP036"
KH0050,AS039
KH0051,"AS040, UR1040"
KH0052,AS041
KH0053,AS042
KH0054,AS043
KH0055,AS044
KH0056,AS045
KH0057,"AS046, HP041"
KH0058,"AS047, HP035"
KH0059,AS048
KH0060,"AS049, UR1049"
KH0061,AS050
KH0062,"AS051, UR1051"
KH0063,"AS052, UR1052"
KH0064,"AS053, UR1053"
KH0065,AS054
KH0066,AS055
KH0067,"AS056, UR163"
KH0068,"AS057, UR1057"
KH0069,"AS058, UR1058"
KH0070,AS059
KH0071,AS060
KH0072,AS061/MA036
KH0073,AS062
KH0074,AS063
KH0075,AS063B
KH0076,AS064
KH0077,AS065
KH0078,AS065B
KH0079,AS066
KH0080,AS067/MA029
KH0081,"AS068, UR281"
KH0082,AS069
KH0083,"AS070, UR035"
KH0084,AS071
KH0085,AS072
KH0086,AS073
KH0087,AS074
KH0088,AS075
KH0089,AS076
KH0090,AS077
KH0091,AS078
KH0092,AS079
KH0093,AS080
KH0094,AS081
KH0095,AS082
KH0096,AS083
KH0097,"AS084, UR1084"
KH0098,AS085
KH0099,AS086
KH0100,"AS087/N03, UR1087"
KH0101,"AS088/N06, UR1088"
KH0102,AS089
KH0103,AS090/N2
KH0104,"AS091, UR1091"
KH0105,AS092
KH0106,AS093
KH0107,AS094
KH0108,"AS095/N04, UR1095"
KH0109,"AS096, UR1096"
KH0110,"AS097, UR1097"
KH0111,"AS098, UR1098"
KH0112,"AS099, UR1099"
KH0113,"AS100, UR1100"
KH0114,AS101 - Part 1
KH0115,AS101 - Part 2
KH0116,"AS102, UR1102"
KH0117,"AS103/N12, UR1103"
KH0118,"AS104/N11, UR1104, UR224"
KH0119,"AS105/N16, UR1105"
KH0120,"AS106, UR1106"
KH0121,"AS107, UR1107"
KH0122,"AS108, UR1108"
KH0123,"AS109, UR1109"
KH0124,AS110
KH0125,AS111
KH0126,AS112
KH0127,"AS113, UR1113"
KH0128,"AS114, UR1114"
KH0129,AS115
KH0130,"AS116, UR1116"
KH0131,"AS117, UR1117"
KH0132,"AS118, UR1118"
KH0133,"AS119, UR1119"
KH0134,"AS120, UR1120"
KH0135,"AS121, UR1121"
KH0136,AS122
KH0137,"AS123, UR1123"
KH0138,"AS124, UR1124"
KH0139,"AS124 Detail 1, UR1124 Detail 1"
KH0140,AS125
KH0141,"AS126, UR1126"
KH0142,"AS127, UR1127"
KH0143,AS128
KH0144,AS129
KH0145,"AS130, UR1130"
KH0146,AS130 B
KH0147,"AS131, UR1131"
KH0148,AS132
KH0149,AS133
KH0150,AS134
KH0151,"AS135, UR1135"
KH0152,"AS136, UR1136"
KH0153,AS137
KH0154,"AS138, UR1138"
KH0155,AS139
KH0156,"AS140/N09, UR1140"
KH0157,"AS141, UR1141"
KH0158,AS142
KH0159,"AS143, UR1143"
KH0160,"AS144, UR1144"
KH0161,"AS145, UR1145"
KH0162,"AS146/N10, UR1146"
KH0163,"AS147, UR1147"
KH0164,"AS148, UR1148"
KH0165,"AS149, UR1149"
KH0166,"AS150, UR1150"
KH0167,"AS151, UR1151"
KH0168,"AS152, UR1152"
KH0169,AS153
KH0170,"AS154, UR1154"
KH0171,AS155
KH0172,AS156
KH0173,AS157
KH0174,AS158
KH0175,AS159
KH0176,AS160
KH0177,"AS161, UR1161"
KH0178,"AS162(A), UR1162A"
KH0179,"AS162(B), UR1162B"
KH0180,"AS163, UR1163"
KH0181,AS164
KH0182,"AS165, UR1165"
KH0183,"AS166, UR1166"
KH0184,"AS167/N15, UR1167"
KH0185,AS168
KH0186,AS169
KH0187,AS170
KH0188,AS171
KH0189,AS172
KH0190,AS173
KH0191,AS174
KH0192,"AS175, UR1175"
KH0193,"AS176, UR1176"
KH0194,AS177
KH0195,AS178
KH0196,"AS179, UR1179"
KH0197,"AS180, UR1180"
KH0198,"AS181, UR236"
KH0199,AS182
KH0200,AS182B
KH0201,AS183
KH0202,AS184
KH0203,AS185
KH0204,AS186
KH0205,AS187
KH0206,AS188
KH0207,AS189
KH0208,AS190
KH0209,AS191
KH0210,AS192
KH0211,AS193
KH0212,AS194
KH0213,AS195
KH0214,AS196
KH0215,AS197
KH0216,AS198
KH0217,AS199
KH0218,AS200
KH0219,AS201
KH0220,AS202
KH0221,AS203
KH0222,AS204
KH0223,AS205
KH0224,AS206
KH0225,AS207A
KH0226,AS207B
KH0227,AS207C
KH0228,"AS208, UR083"
KH0229,AS209
KH0230,AS210
KH0231,AS211
KH0232,AS212
KH0233,AS213
KH0234,AS214
KH0235,AS215
KH0236,AS215F
KH0237,UR001
KH0238,UR002
KH0239,UR003
KH0240,UR004
KH0241,UR005
KH0242,UR006
KH0243,UR007
KH0244,UR008
KH0245,UR009
KH0246,UR010
KH0247,UR011
KH0248,UR012
KH0249,UR013
KH0250,UR014
KH0251,UR015
KH0252,UR016
KH0253,UR017
KH0254,UR018
KH0255,UR019
KH0256,UR020
KH0257,UR021
KH0258,UR022
KH0259,UR023
KH0260,UR024
KH0261,UR026
KH0262,UR027
KH0263,UR028
KH0264,UR029
KH0265,UR032
KH0266,UR033
KH0267,UR034
KH0268,"UR036, UR133"
KH0269,UR037
KH0270,UR038
